source_row	google_link	google_desc	immich_candidates	immich_desc	match_id	immich_link	confidence	signals	notes
artist-photos.tsv:Sonny Landreth @ Hamilton Live 9/13/23	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipN_i2eT6e_fE92HurEry5HtYuYKVtYQMCCYg5M4?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Sonny Landreth @ Hamilton Live 9/13/23					1	caption:2023-09-13	
artist-photos.tsv:Adia Victoria 9/27/23 Clarice Smith Perf ; history/2023.tsv:2023-09-27 Rhiannon Giddens	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNkjamoVNB6r3gdttJXrjVj4pUT6YRmKi6kVFBg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Adia Victoria 9/27/23 Clarice Smith Performing Arts Center, U-Maryland / Rhiannon Giddens at The Clarice Smith Performing Arts Center, College Park, MD, USA					1	caption:2023-09-27	
artist-photos.tsv:Victor Wooten 10/5/23 @ Fillmore at Silv ; history/2023.tsv:2023-10-05 Victor Wooten	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNL2aq_mApSizW5BeQw-TThX1F318zqRSoIq51h?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Victor Wooten 10/5/23 @ Fillmore at Silver Spring / Victor Wooten at The Fillmore Silver Spring, Silver Spring, MD, USA					1	caption:2023-10-05	
artist-photos.tsv:Vanessa Collier @ Strathmore AMP 10/8/23 ; history/2023.tsv:2023-10-08 Vanessa Collier	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMJO8a6tB6wyNcJqrfsNfODcbqr3GaKyBT6BEz3?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier @ Strathmore AMP 10/8/23 / Vanessa Collier at AMP by Strathmore, North Bethesda, MD, USA					1	caption:2023-10-08	
artist-photos.tsv:Daniel Donato at Pearl Street Warehouse  ; history/2023.tsv:2023-10-13 Daniel Donato	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMX2F7NSi2-aYYCgSrCKdpT3t_RegYE7EpPvycK?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Daniel Donato at Pearl Street Warehouse 10/13/23 / Daniel Donato at Pearl Street Warehouse, Washington, DC, USA					1	caption:2023-10-13	
artist-photos.tsv:Albert Cummings, Jammin Java 10/26/23 ; history/2023.tsv:2023-10-27 Albert Cummings	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMEu9ZGcvaBOq0ZLw_pFNvv6xhJPMX6bGaEOz-y?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Albert Cummings, Jammin Java 10/26/23 / Albert Cummings at Jammin' Java, Vienna, VA, USA	e8d2c8da-ee37-4312-9cf9-3126f94dca50				2	date:2023-10-27|face:date	
artist-photos.tsv:Laura Rogers and Lydia Slagle of Secret  ; history/2023.tsv:2023-10-22 The Secret Sisters	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOPpsTRnj79Wx3qziPx2dKG2NPhoypEAxb118lQ?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Laura Rogers and Lydia Slagle of Secret Sisters @ Birchmere 10/22/23 / The Secret Sisters at The Birchmere, Alexandria, VA, USA					1	caption:2023-10-22	
artist-photos.tsv:Ok, no guitarist in this photo. This ver ; history/2023.tsv:2023-03-05 Lucky Chops	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPqIVvhElYX05cEIgNWQGzpIsD0cHJhmZ2lGqgP?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ok, no guitarist in this photo. This very blue-lit band is Lucky Chops @ Union Stage 3/5/23 (l to r) Drummer, Trombone, Trumpet, me, Sousaphone, Bari Sax, Tenor Sax / Lucky Chops at Union Stage, Washington, DC, USA					1	caption:2023-03-05	
artist-photos.tsv:Brian Elmquist, Zach Williams and Kanene ; history/2023.tsv:2023-11-26 The Lone Bellow	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOw7qsvfBZylIivyo4crOTiya5FzU-99A9X8nAF?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Brian Elmquist, Zach Williams and Kanene Donehey Pipkin of Lone Bellow. The Barns at Wolf Trap 11/26/23 / The Lone Bellow at Wolf Trap Farm Park (The Barns), Vienna, VA, USA	6bb91dba-9bea-44be-9317-8a0a03097d5c				2	date:2023-11-26|caption:2023-11-26	
artist-photos.tsv:Eric Johanson @ The Fillmore Silver Spri	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOS4wUE4Nh9HyW3ELmyZlFm5s6qpkduVm0NlQTV?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Eric Johanson @ The Fillmore Silver Spring 12/3/23					1	caption:2023-12-03	
artist-photos.tsv:Samantha Fish + Jesse Dayton @ The Fillm	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNQfOMsL3jVvNfQBbyJBmQZfVYr-j2_J_9fRzz0?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Samantha Fish + Jesse Dayton @ The Fillmore Silver Spring 12/3/23					1	caption:2023-12-03	
artist-photos.tsv:Allison Russell. Yes I'm wearing the tou ; history/2023.tsv:2023-12-10 Allison Russell	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOjGnlPjoh04agzYEJDUfabEjdZd_n129QxeuTP?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Allison Russell. Yes I'm wearing the tour shirt I just purchased. Birchmere 12/10/23 / Allison Russell at The Birchmere, Alexandria, VA, USA					1	caption:2023-12-10	
artist-photos.tsv:Eric Gales, round 2 @ Hamilton Live DC 2	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPRRDenIyNwRM1oDi_kga2BXVdJZZkygrM0su-W?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Eric Gales, round 2 @ Hamilton Live DC 2/20/24					1	caption:2024-02-20	
artist-photos.tsv:Artur Menezes @ Hamilton Live DC 2/20/24	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMvT4D2bRXPkMyBZfn5KXS_00xKL4zlnZwDIYDv?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Artur Menezes @ Hamilton Live DC 2/20/24 supporting Eric Gales					1	caption:2024-02-20	
artist-photos.tsv:Selwyn Birchwood. Collective Encore 2/25 ; history/2024.tsv:2024-02-25 Selwyn Birchwood	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMMVVjK76QaAxnXBdciBAx1QlUmeUQydPKlpw_C?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Selwyn Birchwood. Collective Encore 2/25/24 / Selwyn Birchwood at The Collective Encore, Columbia, MD, USA					1	caption:2024-02-25	
artist-photos.tsv:Danielle Nicole @ Hamilton Live 4/12/24 ; history/2024.tsv:2024-04-12 Danielle Nicole	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMpS6v7mxImoY-1e64m7ffplgbU-3A6qxJVY1ku?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Danielle Nicole @ Hamilton Live 4/12/24 / Danielle Nicole at The Hamilton Live, Washington, DC, USA					1	caption:2024-04-12	
artist-photos.tsv:Judith Hill @ Fillmore Silver Spring 4/1 ; history/2024.tsv:2024-04-13 JJ Grey & Mofro	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNDowZBTXmzQGxHlSp_x0eag71Tu1ZtTbx7eSDX?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Judith Hill @ Fillmore Silver Spring 4/13/24 / JJ Grey & Mofro at The Fillmore Silver Spring, Silver Spring, MD, USA	5a55c1f0-1cba-4331-8287-8a35d98c4ca6				2	date:2024-04-13|caption:2024-04-13	
artist-photos.tsv:Vanessa Collier @ Collective Encore 4/19 ; history/2024.tsv:2024-04-19 Vanessa Collier	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNFUDXw5Va_y5UrBV_8DtkPCAxN9RgJSqZvy9Fn?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier @ Collective Encore 4/19/24 - her long-time birthday venue when it was called the Soundry / Vanessa Collier at The Collective Encore, Columbia, MD, USA					1	caption:2024-04-19	
artist-photos.tsv:Joe Cabral, bajo sexto and saxophone pla	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNnUXarw91vxgW0fTyd9PtZYKt7ZTN3U8Gfiyrg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Joe Cabral, bajo sexto and saxophone player for The Iguanas - Hamilton Live, 5/16/24					1	caption:2024-05-16	
artist-photos.tsv:Sonny Landreth - Hamilton Live 5/16/24	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOpyv-ct9MwYJ3VLC-J38qc0zSQa2NlhCTqk0KG?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Sonny Landreth - Hamilton Live 5/16/24					1	caption:2024-05-16	
artist-photos.tsv:Jackie Venson @ Color Burst Park 6/6/24 ; history/2024.tsv:2024-06-06 Jackie Venson	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNsE8POTuye3YPms-sL1-QuGW1zUHtHT_5piYWc?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Jackie Venson @ Color Burst Park 6/6/24 / Jackie Venson at Color Burst Park, Columbia, MD, USA					1	caption:2024-06-06	
artist-photos.tsv:Shaw Davis @ Rams Head Live  6/16/24 ; history/2024.tsv:2024-06-16 Shaw Davis & The Black Ties	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPMHXR0v5ZYN__RQaKMxpu5kLxiH5D2eKDLqjc0?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Shaw Davis @ Rams Head Live  6/16/24 / Shaw Davis & The Black Ties at Rams Head On Stage, Annapolis, MD, USA					1	caption:2024-06-16	
artist-photos.tsv:Buffalo Nichols @ Jammin' Java (VA) 6/21 ; history/2024.tsv:2024-06-21 Buffalo Nichols	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNAF3HKme3cOyAK__ZfeyhK0g7-UDriAgCWG3qx?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Buffalo Nichols @ Jammin' Java (VA) 6/21/24 / Buffalo Nichols at Jammin' Java, Vienna, VA, USA					1	caption:2024-06-21	
artist-photos.tsv:Mikaela Davis (harpist) Pearl Street War ; history/2024.tsv:2024-06-25 Mikaela Davis	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipML6kOgBnmP4A-grEM2Oj5ODJUb2dZ7Poz5uhwe?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Mikaela Davis (harpist) Pearl Street Warehouse 6/25/24 / Mikaela Davis at Pearl Street Warehouse, Washington, DC, USA					1	caption:2024-06-25	
artist-photos.tsv:Mike Zito @ Birchmere 7/18 | (I was talk ; history/2024.tsv:2024-07-18 Tab Benoit & Anders Osborne 	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOz1C0Q7rlxRWUMe0zY1Mbca7LtuIMR-iG-B5fg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Mike Zito @ Birchmere 7/18 | (I was talking instead of smiling, but also my face had just been melted off) / Tab Benoit & Anders Osborne  at The Birchmere, Alexandria, VA, USA					0		
artist-photos.tsv:Sue Foley @ Hamilton Live 8/23/24 ; history/2024.tsv:2024-08-23 Sue Foley	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOmDw1Noik-3ss6gsQTdf21Z2qFSnFATCi-wMaf?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Sue Foley @ Hamilton Live 8/23/24 / Sue Foley at The Hamilton Live, Washington, DC, USA					1	caption:2024-08-23	
artist-photos.tsv:Vanessa Collier Rams Head Live On Stage, ; history/2024.tsv:2024-09-08 Vanessa Collier	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipO19AHZ_ciaainoN6sOnodzcVpfm_PYfxOeLMye?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier Rams Head Live On Stage, 9/8/24 / Vanessa Collier at Rams Head On Stage, Annapolis, MD, USA					1	caption:2024-09-08	
artist-photos.tsv:Selwyn Birchwood @ The Vault at Capital  ; history/2024.tsv:2024-09-18 Selwyn Birchwood	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPJrWJ1fzxlVGK-rP5_RulOIivpQc7UKpCP9eJd?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Selwyn Birchwood @ The Vault at Capital One Hall 9/18 first time there for both of us! / Selwyn Birchwood at The Vault at Capital One Hall, Tysons Corner, VA, USA					0		
artist-photos.tsv:Valerie June @ Publick Playhouse 10/5/24 ; history/2024.tsv:2024-10-05 Valerie June	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipO6igN8G9386gPPUrtjA9u_KmpOnzD4Bn_hYB0N?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Valerie June @ Publick Playhouse 10/5/24 / Valerie June at Publick Playhouse, Landover, MD, USA					1	caption:2024-10-05	
artist-photos.tsv:Laura Chavez @ Hamilton Live 10/9/24 | (	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOdhEmQul8iSy64tuWdhuuF5KbrE22r1RdEAMt4?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Laura Chavez @ Hamilton Live 10/9/24 | (very averse to photos, very incredible on guitar)					1	caption:2024-10-09	
artist-photos.tsv:Jake Xerxes Fussell @ Songbyrd Music Hou ; history/2024.tsv:2024-10-13 Jake Xerxes Fussell	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMrNix4XAaOwL2DdmhvsdeIjISSOHhw5aezahSL?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Jake Xerxes Fussell @ Songbyrd Music House 10/13/24 / Jake Xerxes Fussell at Songbyrd Music House, Washington, DC, USA					1	caption:2024-10-13	
artist-photos.tsv:Vanessa Collier @ Hamilton Live 10/9/24	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPxr8FYiGCq679hg76GptTqUOMy_8EsUIBr9Itr?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier @ Hamilton Live 10/9/24					1	caption:2024-10-09	
artist-photos.tsv:Ana Popovic 10/16/24 @ Hamilton Live ; history/2024.tsv:2024-10-16 Ana Popović	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPWxjrCqE5HAmFc0xMozC5IHHJaR8GisoSRdsYv?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ana Popovic 10/16/24 @ Hamilton Live / Ana Popović at The Hamilton Live, Washington, DC, USA					1	caption:2024-10-16	
artist-photos.tsv:Shemekia Copeland (singer) @ Rams Head 1 ; history/2024.tsv:2024-10-19 Shemekia Copeland	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNKYfOTXd4oGVHoS3aPbWjIjzSlVwzozwGWyO8x?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Shemekia Copeland (singer) @ Rams Head 10/19/24 / Shemekia Copeland at Rams Head On Stage, Annapolis, MD, USA					1	caption:2024-10-19	
artist-photos.tsv:Albert Cummings @ The Collective Encore  ; history/2024.tsv:2024-11-08 Albert Cummings	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPuM_WTyYbHSxIC46HET7F0V684FLfr0_-j-8Xo?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Albert Cummings @ The Collective Encore 11/8/24 / Albert Cummings at The Collective Encore, Columbia, MD, USA					1	caption:2024-11-08	
artist-photos.tsv:Augustus Tritsch @ The Kennedy Center  1 ; history/2024.tsv:2024-11-09 Jake Blount	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOK0uooNqpdl-iD8ySWtkMKZ6SMxaBYnGMm7ys5?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Augustus Tritsch @ The Kennedy Center  11/9/24 / Jake Blount at Millennium Stage, Washington, DC, USA	6d99a5cc-fdc6-4e4e-88c1-83455533635c				2	date:2024-11-09|caption:2024-11-09	
